departure_time,arrival_time,driver_code,dtg_status,driving_time,driving_distance,speed_max,speed_avg,rpm_max,rpm_avg,volt_min,volt_max,overspeed_time,accumulated_distance
2022-11-05 7:50:36,2022-11-05 7:56:05,6987201,0,329,0,0,0.0,650,499.3,280,285,0,1047390
2022-11-05 8:14:06,2022-11-05 10:13:29,6987201,11,7163,81,107,40.4,1722,904.4,275,285,0,1047471
2022-11-05 11:09:46,2022-11-05 11:10:31,6987201,0,45,0,7,2.6,719,526.7,280,285,0,1047471
2022-11-05 11:15:38,2022-11-05 11:17:49,6987201,0,131,0,5,0.5,642,500.2,275,285,0,1047471
2022-11-05 11:21:47,2022-11-05 11:22:21,6987201,0,34,0,8,3.6,860,583.2,280,285,0,1047471
2022-11-05 11:28:27,2022-11-05 12:57:21,6987201,0,5334,81,107,54.6,1600,990.9,275,285,0,1047552
2022-11-05 14:31:44,2022-11-05 14:32:19,6987201,0,35,0,6,2.0,623,515.9,280,285,0,1047552
2022-11-05 14:38:30,2022-11-05 16:37:15,6987201,11,7125,111,109,55.5,1985,1010.3,275,285,0,1047663
2022-11-05 16:37:19,2022-11-05 17:03:13,6987201,11,1554,0,0,0.0,1060,920.1,255,285,0,1047663
2022-11-05 17:28:17,2022-11-05 17:28:45,6987201,0,28,0,11,5.4,952,545.6,275,285,0,1047663
2022-11-05 17:33:49,2022-11-05 18:04:39,6987201,0,1850,18,99,34.3,1551,843.1,275,285,0,1047681
2022-11-05 18:10:52,2022-11-05 20:21:31,6987201,11,7839,110,108,50.4,1669,954.4,270,285,0,1047791
2022-11-05 20:47:07,2022-11-05 22:30:39,6987201,11,6212,110,107,63.6,1584,1019.9,270,285,0,1047901
2022-11-05 22:30:58,2022-11-05 22:32:59,6987201,0,121,0,0,0.0,0,0.0,250,255,0,1047901
2022-11-06 8:15:33,2022-11-06 8:15:49,6987201,0,16,0,6,2.5,762,513.8,280,285,0,1047901
2022-11-06 8:17:53,2022-11-06 8:20:11,6987201,0,138,0,0,0.0,606,500.2,280,285,0,1047901
2022-11-06 8:34:25,2022-11-06 8:35:31,6987201,0,66,1,9,1.8,944,547.8,280,285,0,1047902
2022-11-06 8:42:28,2022-11-06 9:06:49,6987201,0,1461,17,108,43.2,1516,863.2,225,285,0,1047919
2022-11-06 9:18:00,2022-11-06 10:46:33,6987201,11,5313,100,110,67.1,1663,1066.3,275,285,0,1048019
2022-11-06 11:43:02,2022-11-06 11:43:23,6987201,0,21,0,6,2.4,740,525.4,275,285,0,1048019
2022-11-06 11:48:58,2022-11-06 13:00:13,6987201,11,4275,93,109,77.4,1699,1124.6,275,285,0,1048112
2022-11-06 13:05:10,2022-11-06 13:26:45,6987201,11,1295,17,104,48.4,1645,943.8,275,285,0,1048129
2022-11-06 13:29:59,2022-11-06 13:34:05,6987201,0,246,0,5,0.8,856,211.9,210,285,0,1048129
2022-11-06 14:32:55,2022-11-06 14:35:19,6987201,0,144,0,11,1.2,1161,259.1,215,285,0,1048129
2022-11-06 14:40:23,2022-11-06 14:41:07,6987201,0,44,1,11,3.2,1053,582.8,275,285,0,1048130
2022-11-06 14:45:34,2022-11-06 15:07:31,6987201,11,1317,17,103,48.0,1597,945.8,275,285,0,1048147
2022-11-06 15:19:51,2022-11-06 17:37:21,6987201,11,8250,105,108,45.3,1606,926.5,275,285,0,1048252
2022-11-06 17:46:50,2022-11-06 19:22:15,6987201,11,5725,110,108,69.1,1808,1061.5,275,285,0,1048362
2022-11-06 19:25:43,2022-11-06 19:49:27,6987201,0,1424,18,96,44.1,1560,897.1,270,285,0,1048380
2022-11-06 19:49:31,2022-11-06 19:59:19,6987201,0,588,0,0,0.0,1058,1011.5,200,285,0,1048380
2022-11-07 6:33:48,2022-11-07 6:37:17,6987201,0,209,0,5,1.1,771,501.2,280,285,0,1048380
2022-11-07 6:45:02,2022-11-07 8:36:53,6987201,11,6711,111,109,58.7,1624,1022.1,250,285,0,1048491
2022-11-07 8:36:56,2022-11-07 9:32:03,6987201,0,3307,0,0,0.0,1062,708.9,220,285,0,1048491
2022-11-07 10:00:41,2022-11-07 10:01:31,6987201,0,50,0,13,6.7,1196,633.2,270,285,0,1048491
2022-11-07 10:08:22,2022-11-07 11:43:47,6987201,11,5725,81,109,50.3,1552,959.4,210,285,0,1048572
2022-11-07 12:41:40,2022-11-07 12:44:49,6987201,0,189,0,8,2.0,857,532.0,275,285,0,1048572
2022-11-07 12:49:09,2022-11-07 14:11:11,6987201,11,4922,81,109,59.1,1650,992.7,270,285,0,1048653
2022-11-07 15:42:38,2022-11-07 15:43:33,6987201,0,55,0,13,6.2,1358,728.7,270,285,0,1048653
2022-11-07 15:46:48,2022-11-07 17:22:43,6987201,11,5755,110,109,68.7,1638,1073.4,270,285,0,1048763
2022-11-07 17:26:24,2022-11-07 17:53:03,6987201,11,1599,18,104,39.3,1658,867.0,225,285,0,1048781
2022-11-07 18:49:40,2022-11-07 18:49:57,6987201,0,17,0,11,2.5,1158,581.6,275,280,0,1048781
2022-11-07 18:57:29,2022-11-07 19:22:03,6987201,11,1474,18,107,43.0,1619,888.4,230,285,0,1048799
2022-11-07 19:22:30,2022-11-07 19:23:19,6987201,0,49,0,6,2.1,772,483.8,220,280,0,1048799
2022-11-07 19:34:50,2022-11-07 20:56:03,6987201,11,4873,97,108,71.0,1558,1085.5,275,285,0,1048896
2022-11-07 20:57:00,2022-11-07 21:00:29,6987201,0,209,0,5,0.4,658,166.3,215,285,0,1048896
2022-11-08 6:37:48,2022-11-08 8:41:47,6987201,11,7439,81,108,39.0,1748,855.4,275,285,0,1048977
2022-11-08 9:51:23,2022-11-08 9:52:07,6987201,0,44,0,6,3.8,688,548.6,280,285,0,1048977
2022-11-08 9:58:38,2022-11-08 11:29:53,6987201,11,5475,81,107,53.1,1709,939.0,230,285,0,1049058
2022-11-08 13:01:00,2022-11-08 13:01:27,6987201,0,27,0,7,2.2,791,530.6,280,285,0,1049058
2022-11-08 13:07:59,2022-11-08 14:31:03,6987201,11,4984,81,108,58.1,1672,982.1,215,285,0,1049139
2022-11-08 14:35:25,2022-11-08 14:36:31,6987201,0,66,0,13,4.5,1256,491.7,215,285,0,1049139
2022-11-08 14:41:57,2022-11-08 14:43:27,6987201,0,90,0,4,0.9,717,502.1,275,285,0,1049139
2022-11-08 15:53:44,2022-11-08 15:54:47,6987201,0,63,0,5,2.3,773,502.5,275,285,0,1049139
2022-11-08 15:56:22,2022-11-08 17:57:01,6987201,11,7239,82,106,40.1,1578,897.8,210,285,0,1049221
2022-11-08 17:57:05,2022-11-08 17:57:07,6987201,0,2,0,0,0.0,0,0.0,255,255,0,1049221
2022-11-08 18:50:20,2022-11-08 18:51:33,6987201,0,73,0,6,1.0,668,504.8,275,285,0,1049221
2022-11-08 18:57:35,2022-11-08 20:13:27,6987201,11,4552,80,109,63.1,1615,1021.5,270,285,0,1049301
2022-11-08 20:13:31,2022-11-08 20:26:15,6987201,0,764,0,0,0.0,1061,1025.2,255,285,0,1049301
2022-11-09 6:21:44,2022-11-09 6:32:09,6987201,0,625,0,6,0.3,786,500.9,280,285,0,1049301
2022-11-09 6:53:59,2022-11-09 8:24:55,6987201,11,5456,81,107,53.4,1638,963.7,275,285,0,1049382
2022-11-09 8:25:00,2022-11-09 9:14:53,6987201,0,2993,0,0,0.0,1061,792.9,235,285,0,1049382
2022-11-09 9:41:58,2022-11-09 9:42:37,6987201,0,39,0,16,7.8,1265,698.8,280,285,0,1049382
2022-11-09 9:48:52,2022-11-09 11:31:39,6987201,11,6167,111,108,64.1,1578,1010.4,275,285,0,1049493
2022-11-09 11:35:35,2022-11-09 11:59:13,6987201,0,1418,18,107,43.9,1621,906.3,275,285,0,1049511
2022-11-09 12:34:57,2022-11-09 12:35:49,6987201,0,52,0,8,2.8,833,554.6,275,285,0,1049511
2022-11-09 12:43:44,2022-11-09 13:06:11,6987201,11,1347,18,100,46.9,1615,916.3,275,285,0,1049529
2022-11-09 13:18:29,2022-11-09 14:37:25,6987201,11,4736,95,112,72.1,1572,1066.6,270,285,16,1049624
2022-11-09 15:59:21,2022-11-09 16:01:27,6987201,0,126,0,5,0.8,644,348.7,220,285,0,1049624
2022-11-09 16:06:43,2022-11-09 17:31:29,6987201,0,5086,81,106,56.9,1576,964.8,225,285,0,1049705
2022-11-09 17:38:16,2022-11-09 17:44:59,6987201,0,403,0,6,0.6,748,502.0,275,285,0,1049705
2022-11-09 19:00:37,2022-11-09 19:02:27,6987201,0,110,0,7,2.2,702,522.9,275,285,0,1049705
2022-11-09 19:07:53,2022-11-09 20:29:53,6987201,11,4920,81,106,59.1,1813,973.3,275,285,0,1049786
2022-11-09 20:33:39,2022-11-09 20:35:11,6987201,0,92,0,0,0.0,0,0.0,250,255,0,1049786
2022-11-10 6:16:29,2022-11-10 6:18:13,6987201,0,104,0,0,0.0,567,495.5,205,285,0,1049786
2022-11-10 6:32:05,2022-11-10 9:03:45,6987201,11,9100,132,107,51.7,1534,928.7,275,285,0,1049918
2022-11-10 9:08:04,2022-11-10 9:09:23,6987201,0,79,0,9,3.0,956,538.3,275,285,0,1049918
2022-11-10 9:10:02,2022-11-10 9:11:49,6987201,0,107,0,0,0.0,0,0.0,250,260,0,1049918
2022-11-10 10:36:03,2022-11-10 10:36:57,6987201,0,54,0,11,4.1,1136,628.2,280,285,0,1049918
2022-11-10 10:42:34,2022-11-10 11:08:27,6987201,11,1553,18,100,40.9,1670,863.7,205,285,0,1049936
2022-11-10 11:18:17,2022-11-10 12:46:47,6987201,11,5310,100,109,67.2,1595,1063.4,270,285,0,1050036
2022-11-10 13:40:37,2022-11-10 13:41:23,6987201,0,46,0,7,2.2,833,531.1,275,285,0,1050036
2022-11-10 13:48:46,2022-11-10 15:34:51,6987201,11,6365,110,108,62.1,1484,1001.8,265,285,0,1050146
2022-11-10 15:40:49,2022-11-10 15:42:05,6987201,0,76,0,7,2.4,846,515.9,270,285,0,1050146
2022-11-10 16:02:16,2022-11-10 16:03:37,6987201,0,81,0,10,2.3,1013,565.8,275,285,0,1050146
2022-11-10 16:36:01,2022-11-10 16:41:07,6987201,0,306,0,13,1.0,1180,188.6,245,285,0,1050146
2022-11-10 16:43:48,2022-11-10 17:13:17,6987201,11,1769,18,98,35.8,1643,858.4,185,285,0,1050164
2022-11-10 17:20:01,2022-11-10 19:23:09,6987201,11,7388,97,110,46.9,1624,963.4,275,285,0,1050261
2022-11-10 19:23:12,2022-11-10 21:31:57,6987201,11,7725,110,108,51.4,1592,1027.8,255,280,0,1050371
2022-11-10 21:32:14,2022-11-10 21:33:31,6987201,0,77,0,0,0.0,0,0.0,250,255,0,1050371
2022-11-11 8:53:13,2022-11-11 8:55:41,6987201,0,148,0,5,0.4,682,494.6,200,285,0,1050371
2022-11-11 9:31:04,2022-11-11 9:31:15,6987201,0,11,0,0,0.0,0,0.0,245,245,0,1050371
2022-11-11 9:38:05,2022-11-11 9:39:15,6987201,0,70,1,13,2.5,974,529.5,200,285,0,1050372
2022-11-11 9:42:41,2022-11-11 10:08:27,6987201,11,1546,17,106,41.0,1627,884.2,205,285,0,1050389
2022-11-11 10:17:40,2022-11-11 11:50:33,6987201,11,5573,111,109,70.9,1577,1087.9,275,285,0,1050500
2022-11-11 11:50:41,2022-11-11 12:39:53,6987201,11,2952,0,0,0.0,1062,773.6,235,285,0,1050500
2022-11-11 12:52:07,2022-11-11 14:53:59,6987201,0,7312,110,109,54.0,1685,943.7,270,280,0,1050610
